State,Killed_2014,Killed_2015,Killed_2016,Killed_2017,Injured_2014,Injured_2015,Injured_2016,Injured_2017,Fine_Acc_2014,Fine_Killed_2014,Rain_Acc_2014,Fog_Acc_2014,Dry_Road_Acc,Wet_Road_Acc,Pothole_Acc,Avg_Killed,Avg_Injured,Risk_Score,Risk_Level
Andhra Pradesh,7908,8297,8541,8060,29931,29439,30051,27475,14591.0,4586.0,1104.0,724.0,22547.0,1893.0,282.0,8201.5,29224.0,45627.0,High
Arunachal Pradesh,119,127,149,110,308,359,391,316,71.0,30.0,17.0,14.0,114.0,91.0,28.0,126.25,343.5,596.0,Low
Assam,2522,2397,2572,2783,6499,7068,6127,6163,3575.0,1318.0,320.0,494.0,6149.0,995.0,17.0,2568.5,6464.25,11601.25,Medium
Bihar,4913,5421,4901,5554,6640,6835,5651,6014,2343.0,1218.0,721.0,1713.0,6746.0,2810.0,494.0,5197.25,6285.0,16679.5,Medium
Chhattisgarh,4022,4082,3908,4136,13157,13426,12955,12550,5000.0,1354.0,1810.0,382.0,10696.0,3125.0,114.0,4037.0,13022.0,21096.0,Medium
Goa,290,311,336,328,1879,2055,2026,1922,3556.0,257.0,417.0,0.0,3688.0,541.0,17.0,316.25,1970.5,2603.0,Low
Gujarat,7955,8119,8136,7289,22493,21448,19949,16802,15008.0,4876.0,1520.0,643.0,18075.0,5637.0,506.0,7874.75,20173.0,35922.5,High
Haryana,4483,4879,5024,5120,8944,10794,10531,10339,5519.0,2043.0,511.0,724.0,9419.0,1257.0,0.0,4876.5,10152.0,19905.0,Medium
Himachal Pradesh,1199,1096,1271,1203,5576,5108,5764,5452,2070.0,736.0,134.0,90.0,2713.0,345.0,8.0,1192.25,5475.0,7859.5,Low
Jammu & Kashmir,992,917,958,926,8043,8142,7692,7419,5290.0,816.0,66.0,16.0,4525.0,1336.0,45.0,948.25,7824.0,9720.5,Low
Jharkhand,2628,2893,3027,3256,4356,4038,3793,3918,1249.0,751.0,484.0,478.0,4713.0,488.0,62.0,2951.0,4026.25,9928.25,Low
